,1,2,3,4,5,b
1,-319076.57632077223,-278334.53325731435,-159379.9458827433,-96376.1545270296,-28537.078998659035,590508718.987861
2,-194907.62230037156,-168565.07277050242,-115605.24850363238,-68071.1185164136,-19134.818161944444,523499728.2128379
3,-248094.94004416122,-186314.67170661903,-125924.12736139247,-74422.99958948213,-21831.32832650287,547384686.6463689
4,-225792.85015992448,-174078.35259129977,-117688.5139578955,-69292.06540655634,-20326.20627461587,534023452.1175571
5,-233610.70097275465,-180104.68235440325,-121363.60616435674,-71658.13470080074,-20613.065916944448,540458866.3260561
6,-229078.48571954545,-176832.30807349816,-119447.41893445284,-70448.0486407409,-20613.065916944448,537047416.9096607
7,-229529.36718051336,-177106.62251440718,-119562.62360068363,-70472.6496225532,-20613.065916944448,537304802.829986
8,-230949.15577310705,-178130.69275170303,-120200.50716666295,-70899.48649901665,-20613.065916944448,538406206.9897768
9,-232818.46856542132,-179526.1168996184,-121037.02284689533,-71457.23633937431,-20613.065916944448,539874554.3245603
10,-230462.09976164144,-177736.0131033948,-119981.68231693107,-70753.06084967617,-20613.065916944448,538009857.9897549
11,-232779.2928805306,-179498.02267042146,-121022.75238711634,-71449.68813502604,-20613.065916944448,539847403.0903558
12,-230856.48523380913,-178042.04279614397,-120158.8720849494,-70871.62657413738,-20613.065916944448,538326042.5105686
13,-232688.61297233857,-179426.40466903054,-120982.01165747397,-71422.42666175278,-20613.065916944448,539774244.8970326
14,-232368.25589283856,-179182.85306147498,-120838.08141509548,-71326.1163970556,-20613.065916944448,539520292.4765805
15,-231900.62600226855,-178827.45751296662,-120627.98434591819,-71185.53090223401,-20613.065916944448,539149606.4391458
16,-231483.65257739628,-178511.25005065586,-120440.64624744095,-71060.17446876976,-20613.065916944448,538819416.402127
17,-231657.91512582885,-178644.6639502487,-120518.93904144612,-71112.56373449956,-20613.065916944448,538958059.1511105
18,-231903.22094675337,-178829.42931796002,-120629.15020430733,-71186.31103105337,-20613.065916944448,539151663.4042171
