,1,2,3,4,5,b
1,-467451.93794728734,-407729.6329844444,-233358.22492464204,-141309.5111424157,-41831.61370545613,684498499.767214
2,-226838.01164954779,-201325.96727970627,-137810.54026959193,-82151.05193651974,-20613.065916944448,562022583.6078523
3,-277571.0609549502,-222715.0298268106,-147970.86333606136,-89503.02784869494,-28598.71663889778,588429183.2676345
4,-247423.6731492187,-221154.63577252286,-146987.14491066022,-89622.74537408304,-21768.442334812506,583794725.4365518
5,-261795.56629900413,-221265.86579122578,-147081.77541708777,-89082.82028169766,-21637.299226982428,586108317.629893
6,-264802.14313359786,-220844.69170814002,-146789.57982468186,-88848.48393271091,-26807.042269811118,586054441.5731934
7,-262119.00211510132,-221415.69375032815,-147219.744668208,-89195.18657000287,-23406.33746500286,586407218.942637
8,-262108.4573449743,-220941.8179375443,-146851.13749648895,-88941.00601810496,-27677.222533646305,585904899.4481044
9,-264216.6606334935,-221070.5009948989,-146948.1404295021,-88992.71278666465,-23203.86368166464,586239309.5677701
10,-262185.0146448187,-221056.53490370064,-146929.99002342133,-88981.67979128208,-23192.830686282065,586013713.8457147
11,-262233.5025624658,-221119.12247747643,-146976.18271398047,-89027.94657263861,-24775.030390971944,586095903.1309505
12,-262031.20819935793,-221276.34009609977,-147121.34967694458,-89133.94496981855,-24881.02878815188,586260968.5919746
13,-261946.87506604698,-221147.7360389122,-147037.01654363362,-89082.75280785847,-24829.836626191805,586125414.9159654
14,-262391.308364951,-221288.35664406707,-147136.28374355365,-89144.51280557048,-23355.663700570476,586313454.3481277
15,-262294.33639211894,-221147.7360389122,-147037.01654363362,-89082.75280785847,-24829.836626191805,586164896.4729298
16,-262294.33639211894,-221147.7360389122,-147037.01654363362,-89082.75280785847,-24829.836626191805,586164896.4729301
