Scenario;IdBar;attVector;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24
1;NE;Alpha;0.101651198;0.08483996;0.101758095;0.117104841;0.130501009;0.107431678;0.16289444;0.084859401;0.061459874;-0.004823849;-0.023495211;-0.017712755;-0.023860826;0.009601197;-0.040268994;-3.08E-05;-0.098538695;-0.082450277;-0.090637065;-0.065205003;-0.02615081;-0.069158718;0.090158048;0.038006744
2;NE;Alpha;0.040322755;0.101745715;0.145674373;0.148544118;0.220706887;0.175750555;0.201422646;0.120730942;0.096279593;0.12596052;0.089430072;0.146633128;0.087042816;0.081417524;0.0299605;-0.031911825;-0.065138871;-0.062514382;0.003202081;0.020480393;0.061765351;0.128756539;0.212222868;0.404968325
3;NE;Alpha;0.119457261;0.07411139;0.053906194;0.015807419;0.009251262;-0.024661876;-0.037885876;0.046969591;0.08719317;0.15913823;0.135822701;0.158552994;0.193375291;0.158085961;0.068008574;0.049459424;0.034717791;0.028033256;0.011940813;-0.000875665;0.0311994;0.014333247;0.019642593;0.016879375
4;NE;Alpha;-0.003658677;-0.000237448;0.02642675;-0.008377475;-0.050999096;-0.075576464;-0.080879581;-0.040572993;-0.065066244;-0.029897543;0.028044202;0.085898795;0.037062127;-0.0362389;-0.01414371;0.041703957;0.067963399;0.043710623;0.074739319;0.104761331;0.097991795;0.070864397;0.042517207;0.03815515
5;NE;Alpha;0.084813083;0.044791891;0.048217491;0.024813093;0.023070283;-0.064134842;-0.067956981;-0.026901509;-0.023777005;0.04390939;0.072540551;0.060072415;0.089876755;0.056476737;0.045117105;-0.024812356;-0.030869652;0.026176665;-0.007568124;0.008614918;0.023948731;0.04499121;0.091558071;0.041655716
6;NE;Alpha;-0.102402756;-0.03437439;0.016289339;0.025748588;0.04336649;0.054008247;0.085809635;-0.002110651;-0.053463095;0.038391075;0.083667999;0.060155642;0.098541393;0.157107557;0.167569581;0.136148898;0.140769003;0.130367084;0.083012384;0.072077354;0.066405397;0.069619188;-0.016788195;-0.030528782
7;NE;Alpha;0.023103656;0.024192813;0.033755191;0.010324565;-0.06359014;-0.08904321;-0.111656104;-0.187632788;-0.145623879;-0.131243436;-0.037063078;0.012555448;0.00908802;0.049076471;0.023474542;-0.02868779;0.004343671;-0.043573928;-0.006139244;0.034676611;0.027158074;0.073376645;-0.004931914;0.078401202
8;NE;Alpha;-0.039296081;-0.025235646;-0.01601506;-0.010934633;-0.055565167;-0.045294161;-0.065797158;-0.049248958;-0.099895352;-0.12863147;-0.067470328;-0.056237874;-0.022451498;-0.020237376;0.015498181;0.010269722;0.069407397;0.028695026;0.024637411;0.048756409;0.01939259;0.069910646;-0.079534405;0.012362139
9;NE;Alpha;0.009862032;0.019121491;-0.002963383;0.016279771;0.069696786;0.056219128;0.050939384;0.104678072;0.096158793;0.057011723;0.04670179;0.041819314;0.094597113;0.017950264;0.047282881;0.045270487;-0.015953223;-0.015800436;-0.026730775;-0.009420268;-0.03639501;-0.025388696;0.039527982;0.027225273
10;NE;Alpha;0.04728765;-0.00642693;-0.073855276;-0.028652436;-0.037473983;-0.019781323;-0.056989504;-0.007326539;0.069878685;0.048162011;0.046099339;-0.042340621;-0.05643853;-0.067782342;-0.071332506;-0.020017018;0.006298251;0.043762736;0.080267041;0.095822976;0.105512593;0.10142844;0.085336577;0.177685962
11;NE;Alpha;-0.003679751;0.014832961;-0.021183868;0.036279311;0.030393874;-0.024257417;-0.00100078;0.024665805;-0.038940604;-0.090847662;-0.112873397;-0.022427949;-0.048752191;-0.069911151;0.005756124;0.014305443;0.019031941;0.056215289;0.032764649;0.013299237;0.008466573;0.013120524;0.030709031;-0.113233793
12;NE;Alpha;-0.021128487;-0.046989142;-0.087821481;-0.053254781;-0.049431047;-0.067310401;-0.017078296;-0.034230222;0.05442439;0.078775185;0.089202963;0.071974625;0.058656451;0.077958869;0.066986954;0.078972219;0.094971962;0.12511515;0.114987738;0.13541282;0.12459249;0.086376421;0.095728114;0.055096139
13;NE;Alpha;-0.080372032;-0.053017736;-0.080668411;-0.003483818;-0.057226229;-0.026474483;-0.005803691;0.001150553;0.024119761;0.054864401;0.156928472;0.169712479;0.135606223;0.073366469;0.085731412;0.02328535;-0.048997142;-0.057481974;-0.01262782;-0.008035077;-0.013817264;-0.03885517;0.083473842;0.17327397
14;NE;Alpha;0.101851142;0.105673011;0.114549191;0.059182172;0.073977658;0.129066089;0.078170685;0.067866066;0.064144573;0.077090726;0.063429108;0.089834046;0.108034538;0.113007901;0.101686934;0.150475849;0.14636951;0.095308896;0.112230521;0.155160083;0.144732359;0.127305198;0.134389389;0.244078084
15;NE;Alpha;-0.041756688;-0.068910006;-0.07567765;-0.051892559;-0.027329408;0.067517249;0.000630838;0.009822943;0.099158346;0.080249658;0.088163969;0.039903435;0.072215881;0.06378023;0.035383169;0.103525274;0.018761731;-0.007500376;-0.015849824;1.78E-05;-0.038615697;-0.142600724;-0.118164691;-0.164907994
16;NE;Alpha;0.038430065;0.01340991;0.065464095;0.118514599;0.127886786;0.113262153;0.117454917;0.140565997;0.110326981;-0.018434402;0.013539421;0.003506737;0.007368433;0.027856032;0.019386085;0.026302712;-0.064980947;-0.073288735;-0.068098401;-0.073450533;-0.112056629;-0.093411988;-0.049648603;0.014067848
17;NE;Alpha;0.041526867;0.026454744;0.027023078;-0.048437478;-0.080789513;-0.147653529;-0.237048516;-0.239911328;-0.219745034;-0.164274797;-0.102198926;-0.007942064;0.082521393;0.062016373;0.084819098;-0.001639582;-0.031194876;-0.078836927;-0.077918605;-0.079112482;-0.142680032;-0.091192396;-0.129040563;-0.073779122
18;NE;Alpha;-0.068011792;-0.007292177;-0.03461298;-0.03598334;0.000710263;0.015716305;0.070226737;0.044733362;0.107863603;0.186829294;0.247589228;0.267485185;0.244841565;0.154918358;0.120575929;0.116665929;0.035229776;0.017099734;0.003385652;0.051564317;0.035264063;-0.01563556;-0.015442762;-0.023191129
19;NE;Alpha;0.042864014;0.019797843;-0.009769623;0.035337197;0.036365073;0.070455547;0.068523912;0.046553143;0.023942201;-0.005563898;0.053812978;0.022240794;0.020351471;0.076474018;0.076760713;0.058904509;0.047712424;0.024394641;0.016265736;0.03007494;0.036706129;0.05747799;0.053039622;0.208087316
20;NE;Alpha;0.032132805;0.028234373;0.015746285;-0.022754349;0.012219239;0.006905584;-0.003731971;-0.023768259;0.000323841;0.004787637;0.034512857;0.093039047;0.14677423;0.11987542;0.088236929;0.107207606;0.08768695;0.07554581;0.008330627;0.017906454;0.021205578;-0.018729461;-0.055545843;-0.19020902
1;S;Alpha;0.217933205;0.212014637;0.296201113;0.09393214;0.07470098;0.125546296;0.190105973;0.069737119;0.024524715;0.137919067;0.082573991;0.13198574;0.080654472;-0.004320175;-0.014947368;-0.033140127;-0.159864924;-0.056867521;-0.296664336;-0.263780328;-0.513023529;-0.69851462;-0.4211;-1.977
